"ID","pclass","name","sex","age","sibsp","parch","ticket","fare","cabin","embarked"
1,3,"Sdy*****","male",NA,0,0,"349222",7.8958,"","S"
2,3,"Pel*****","male",25,0,0,"STON/O 2. 3101291",7.925,"","S"
3,3,"Kar*****","male",22,0,0,"350060",7.5208,"","S"
4,3,"Saa*****","male",NA,0,0,"2676",7.225,"","C"
5,3,"Cor*****","male",19,0,0,"349231",7.8958,"","S"
6,1,"Wri*****","male",62,0,0,"113807",26.55,"","S"
7,2,"Tur*****","male",29,1,0,"11668",21,"","S"
8,3,"Sho*****","male",NA,0,0,"374910",8.05,"","S"
9,2,"Bot*****","male",26,0,0,"237670",13,"","S"
10,3,"Van*****","female",31,1,0,"345763",18,"","S"
11,3,"Sto*****","male",60.5,0,0,"3701",NA,"","S"
12,3,"Cor*****","male",35,0,0,"349230",7.8958,"","S"
13,2,"Gal*****","male",38,1,0,"28664",21,"","S"
14,1,"Sil*****","male",50,1,0,"13507",55.9,"E44","S"
15,3,"Pau*****","male",NA,0,0,"3411",8.7125,"","C"
16,3,"Ols*****","male",20,0,0,"6563",9.225,"","S"
17,3,"And*****","female",38,4,2,"347091",7.775,"","S"
18,3,"Ali*****","male",25,0,0,"SOTON/O.Q. 3101312",7.05,"","S"
19,2,"Per*****","male",41,0,0,"237393",13,"","S"
20,1,"Spe*****","male",57,1,0,"PC 17569",146.5208,"B78","C"
21,3,"Bac*****","male",20,0,0,"2679",7.225,"","C"
22,3,"Zak*****","male",26.5,0,0,"2656",7.225,"","C"
23,3,"Ols*****","male",28,0,0,"C 4001",22.525,"","S"
24,3,"Tor*****","male",44,0,0,"364511",8.05,"","S"
25,1,"Wid*****","male",27,0,2,"113503",211.5,"C82","C"
26,3,"Lar*****","male",22,0,0,"347065",7.775,"","S"
27,3,"Siv*****","male",40,0,0,"349251",7.8958,"","S"
28,1,"Ast*****","male",47,1,0,"PC 17757",227.525,"C62 C64","C"
29,3,"She*****","male",NA,0,0,"C.A. 6212",15.1,"","S"
30,3,"Fol*****","male",26,0,0,"330910",7.8792,"","Q"
31,3,"Lin*****","female",30,1,0,"349910",15.55,"","S"
32,1,"For*****","male",19,3,2,"19950",263,"C23 C25 C27","S"
33,3,"Dyk*****","male",23,1,0,"347072",13.9,"","S"
34,3,"Hum*****","male",42,0,0,"348121",7.65,"F G63","S"
35,3,"Col*****","male",24,0,0,"349209",7.4958,"","S"
36,3,"Bou*****","female",NA,0,2,"2678",15.2458,"","C"
37,2,"Swe*****","male",14,0,0,"220845",65,"","S"
38,3,"Joh*****","male",33,0,0,"347062",7.775,"","S"
39,2,"Pul*****","male",27,0,0,"SC/PARIS 2168",15.0333,"","C"
40,1,"Kee*****","male",32.5,0,0,"113503",211.5,"C132","C"
41,1,"Gra*****","male",38,0,1,"PC 17582",153.4625,"C91","S"
42,3,"Han*****","male",41,2,0,"350026",14.1083,"","S"
43,3,"Sve*****","male",24,0,0,"350035",7.7958,"","S"
44,2,"But*****","male",25,0,0,"234686",13,"","S"
45,3,"Nen*****","male",NA,0,0,"349234",7.8958,"","S"
46,3,"Cre*****","male",19,0,0,"S.P. 3464",8.1583,"","S"
47,3,"Fle*****","female",NA,0,0,"364859",7.75,"","Q"
48,3,"Dim*****","male",42,0,0,"315088",8.6625,"","S"
49,3,"Hag*****","female",17,0,0,"AQ/3. 30631",7.7333,"","Q"
50,3,"Ped*****","male",NA,0,0,"345498",7.775,"","S"
51,1,"Cas*****","male",49,0,0,"19924",26,"","S"
52,3,"Lyn*****","male",NA,0,0,"349235",7.8958,"","S"
53,2,"Jar*****","male",47,0,0,"237565",15,"","S"
54,2,"Gil*****","male",21,1,0,"28134",11.5,"","S"
55,3,"Rad*****","male",NA,0,0,"349223",7.8958,"","S"
56,3,"And*****","male",20,0,0,"347466",7.8542,"","S"
